
        ID TEXT                 DATE_VALUE          
---------- -------------------- ---------------------
         1 HI                   22-01-2022 00:00:00   
         2 HOCHY SPATB          13-01-2022 00:00:00   
         4 YA YSTAL             10-01-2022 00:00:00   
         5 GORIT                22-01-2022 00:00:00   
         6 FINGER               22-01-2022 00:00:00   
         7 AICH                 22-01-2022 00:00:00   
         8 DOTS                 22-01-2022 00:00:00   
         9 ANGER                22-01-2022 00:00:00   
        10 EMPTY                22-01-2022 00:00:00   
        11 DRY                  21-01-2022 00:00:00   
        12 HAND                 22-01-2022 00:00:00   
        13 VERSION              23-01-2022 00:00:00   
        14 BOAL                 24-01-2022 00:00:00   
        15 CHERRY               25-01-2022 00:00:00   
        16 LEGO                 26-01-2022 00:00:00   
        17 JUST TO              27-01-2022 00:00:00   
        18 VERIFY THAT          28-01-2022 00:00:00   
        19 I AM STILL           29-01-2022 00:00:00   
        20 ALIVE                29-01-2022 00:00:00   


